,sTrial_start #,sTrial_end #,Trial_start_description,Trial_end_description,2018_11_27__T163,2018_11_28__T163,2018_11_30__T163,2018_12_03__T163,2018_12_04__T163,2018_12_06__T163,2018_12_07__T163,2018_12_10__T163,2018_12_11__T163,2018_12_13__T163,2018_11_27__T164,2018_11_28__T164,2018_11_29__T164,2018_12_03__T164,2018_12_04__T164,2018_12_05__T164,2018_12_06__T164,2018_12_07__T164,2018_12_10__T164,2018_12_11__T164,2018_12_13__T164,2019_01_23__T169,2019_01_25__T169,2019_01_31__T169,2019_02_01__T169,2019_02_11__T169,2019_02_12__T169,2019_02_13__T169,2019_02_14__T169,2019_02_15__T169,2019_02_19__T169,2019_02_20__T169,2019_02_21__T169,2019_02_22__T169,2019_02_25__T169,2019_02_26__T169,2019_02_27__T169,2019_02_28__T169,2019_03_01__T169,2019_01_22__T170,2019_01_23__T170,2019_01_25__T170,2019_01_30__T170,2019_01_31__T170,2019_02_01__T170,2019_02_04__T170,2019_02_11__T170,2019_02_13__T170,2019_02_14__T170,2019_02_19__T170,2019_02_20__T170,2019_02_21__T170,2019_02_22__T170,2019_01_22__T171,2019_01_23__T171,2019_01_25__T171,2019_01_28__T171,2019_01_30__T171,2019_01_31__T171,2019_02_08__T171,2019_02_11__T171,2019_02_12__T171,2019_02_13__T171,2019_02_14__T171,2019_02_15__T171,2019_02_19__T171,2019_02_20__T171,2019_02_21__T171,2019_02_22__T171,2019_02_25__T171,2019_02_26__T171,2019_02_27__T171,2019_02_28__T171,2019_03_01__T171,2019_03_21__T186,2019_03_22__T186,2019_03_25__T186,2019_03_27__T186,2019_03_28__T186,2019_04_01__T186,2019_04_02__T186,2019_04_03__T186,2019_04_04__T186,2019_04_05__T186,2019_03_21__T187,2019_03_22__T187,2019_03_25__T187,2019_03_28__T187,2019_04_01__T187,2019_04_02__T187,2019_04_03__T187,2019_04_04__T187,2019_04_05__T187,2019_05_16__T202,2019_05_18__T202,2019_05_20__T202,2019_05_21__T202,2019_05_22__T202,2019_05_24__T202,2019_05_25__T202,2019_05_26__T202,2019_05_28__T202,2019_05_29__T202,2019_05_30__T202,total_number_of_licks_state_transi,
15,41,42,Cue1Penalty_pre,Cue1Penalty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.010
18,47,48,Selection_pre,Selection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.010
30,58,58,SelectTimeout,SelectTimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010
39,94,94,FreeReward,FreeReward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010
41,96,20,FreeRewardPost,initTrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010
24,51,52,SelectReward,SelectRewardPost_pre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0.019
35,66,75,endBlock,commUpload_dataTrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.029
36,75,16,commUpload_dataTrial,initBlock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.058
17,47,54,Selection_pre,SelectWrong_pre,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,8,0.077
37,78,66,saveData_dataBlock,endBlock,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.077
