,0,1
12.0,2.001,0.359
13.0,2.523,3.298
14.0,2.139,1.435
15.0,0.837,2.108
16.0,2.348,1.018
17.0,4.323,2.21
25.0,1.182,0.86
26.0,1.813,1.129
28.0,2.345,1.709
29.0,2.896,2.4
30.0,3.231,1.96
42.0,2.691,2.417
43.0,1.463,2.207
45.0,2.267,2.122
46.0,2.224,1.915
47.0,2.848,0.669
48.0,2.407,1.986
59.0,3.872,2.826
60.0,1.58,1.907
64.0,2.262,2.144
65.0,1.374,0.748
76.0,3.137,2.54
78.0,0.403,1.865
79.0,1.449,2.272
80.0,1.683,2.264
81.0,1.169,2.129
82.0,0.375,2.841
94.0,4.406,3.673
95.0,0.931,0.739
96.0,1.145,1.423
97.0,1.317,2.448
98.0,1.469,2.366
99.0,1.635,1.412
100.0,2.137,0.952
101.0,1.766,1.938
112.0,0.736,2.016
113.0,1.008,2.091
114.0,1.537,2.094
115.0,3.671,1.88
125.0,0.994,2.673
126.0,1.118,0.885
133.0,0.908,1.823
134.0,1.221,1.187
135.0,0.935,1.884
136.0,2.593,2.83
154.0,2.736,2.775
155.0,1.179,0.749
158.0,2.53,2.224
159.0,1.975,2.109
174.0,2.993,3.774
175.0,2.642,2.895
178.0,3.802,3.487
179.0,2.145,0.55
180.0,2.262,1.256
188.0,4.602,3.491
189.0,1.296,1.193
191.0,0.692,2.398
201.0,1.722,2.819
209.0,2.006,2.295
210.0,2.074,2.579
211.0,1.513,3.27
212.0,2.066,1.931
213.0,1.96,1.943
225.0,2.529,3.437
10.0,1.768,2.254
11.0,1.544,2.511
14.0,1.86,1.795
15.0,2.441,1.988
16.0,2.573,1.651
17.0,0.465,0.964
18.0,1.194,0.473
34.0,2.329,2.225
35.0,3.131,1.449
38.0,3.379,2.449
39.0,2.968,1.909
40.0,2.039,1.227
50.0,3.724,3.151
57.0,3.208,1.83
58.0,2.645,2.008
59.0,1.464,0.98
60.0,2.166,3.166
72.0,4.436,2.55
73.0,3.027,0.898
74.0,3.691,2.587
75.0,3.247,2.702
76.0,0.075,0.931
77.0,2.186,0.992
91.0,2.447,1.433
92.0,2.109,0.959
93.0,3.046,1.375
94.0,0.807,2.584
95.0,2.568,1.472
96.0,3.456,3.058
97.0,2.511,1.063
98.0,2.853,2.325
111.0,3.312,2.734
112.0,2.121,2.029
120.0,1.037,3.647
121.0,4.788,3.408
122.0,2.939,5.041
123.0,1.43,1.211
139.0,2.776,2.36
140.0,1.804,2.719
142.0,1.872,1.086
143.0,1.748,1.543
154.0,1.959,1.894
155.0,2.037,4.118
159.0,2.088,2.775
160.0,1.766,1.249
161.0,2.325,1.737
170.0,1.921,0.979
171.0,1.994,1.205
186.0,1.893,2.334
187.0,0.126,2.245
189.0,1.282,2.929
190.0,1.288,2.28
191.0,1.302,1.752
192.0,1.238,0.77
206.0,0.072,3.319
207.0,2.89,3.163
210.0,2.399,2.557
211.0,1.709,1.395
220.0,1.948,3.746
221.0,1.114,1.174
15.0,3.65,2.538
16.0,2.286,1.079
17.0,1.534,1.551
18.0,1.85,0.271
19.0,0.98,0.34
35.0,2.832,1.473
36.0,1.139,1.328
37.0,0.867,2.245
42.0,1.82,2.185
51.0,2.872,2.855
52.0,1.271,1.133
53.0,2.001,1.583
54.0,2.732,1.648
62.0,2.55,2.098
63.0,2.395,2.054
69.0,1.96,3.295
70.0,2.323,1.599
71.0,1.019,0.546
72.0,1.542,0.53
73.0,2.957,1.384
97.0,3.244,2.539
98.0,1.028,1.242
101.0,2.668,2.358
115.0,2.987,3.027
116.0,2.826,2.489
118.0,1.478,2.645
119.0,1.679,1.299
120.0,1.621,2.057
134.0,1.778,3.448
135.0,2.46,1.106
138.0,3.069,3.052
139.0,3.079,3.137
152.0,3.77,3.076
153.0,2.839,3.594
156.0,2.484,2.57
167.0,3.4,4.173
169.0,2.14,1.523
170.0,1.396,1.197
178.0,2.726,1.98
179.0,0.793,2.566
180.0,1.401,1.116
181.0,0.964,1.346
182.0,2.317,2.589
183.0,1.416,2.243
184.0,1.915,1.944
192.0,2.117,2.151
193.0,1.707,1.029
194.0,3.225,3.144
195.0,2.88,3.501
196.0,3.618,2.32
197.0,2.314,2.911
198.0,2.131,2.33
199.0,1.641,2.345
218.0,3.293,3.607
219.0,2.49,3.486
221.0,2.778,2.897
222.0,2.615,1.892
223.0,1.818,1.255
224.0,1.896,2.969
238.0,1.908,2.718
239.0,1.182,1.179
241.0,2.717,2.662
242.0,0.89,1.994
243.0,2.303,2.362
244.0,2.092,3.354
255.0,3.327,4.276
256.0,1.237,2.603
258.0,2.833,2.272
259.0,1.668,2.853
260.0,1.496,1.594
266.0,1.57,2.7
277.0,2.508,1.175
278.0,1.003,0.81
280.0,3.093,2.56
281.0,2.891,3.807
282.0,3.177,2.34
283.0,1.874,1.837
305.0,1.892,2.878
307.0,2.539,2.791
14.0,1.802,5.204
15.0,0.991,4.456
16.0,1.266,3.577
17.0,1.3,2.91
18.0,0.85,3.37
25.0,1.467,0.609
26.0,1.634,4.315
27.0,1.151,2.495
28.0,1.636,2.312
29.0,0.494,3.569
30.0,1.438,3.664
31.0,1.614,3.968
32.0,1.559,3.72
40.0,0.567,2.619
41.0,1.599,3.512
44.0,2.185,4.302
45.0,1.369,3.267
51.0,1.746,3.734
66.0,0.942,3.112
67.0,2.046,3.31
69.0,1.396,5.147
70.0,0.603,3.257
83.0,0.861,1.982
84.0,0.931,2.646
88.0,1.167,3.682
89.0,1.719,3.239
90.0,1.14,3.318
107.0,1.38,2.969
110.0,2.581,2.766
124.0,1.198,3.463
125.0,1.697,1.632
127.0,0.604,3.396
128.0,0.808,2.345
129.0,1.163,2.578
130.0,1.534,3.633
146.0,1.074,2.903
147.0,0.315,2.987
148.0,0.356,2.394
149.0,1.643,3.101
159.0,0.948,2.232
164.0,1.722,2.434
165.0,1.261,2.694
166.0,1.489,2.191
167.0,0.702,2.869
178.0,2.603,2.902
179.0,1.685,2.167
184.0,2.163,3.532
185.0,1.069,2.457
186.0,0.697,3.533
198.0,0.645,3.214
199.0,1.336,2.561
205.0,0.858,2.267
206.0,1.202,2.924
207.0,1.529,3.165
208.0,0.648,2.643
209.0,0.987,3.534
219.0,1.684,3.511
220.0,1.356,3.309
224.0,1.007,3.766
237.0,0.555,3.246
238.0,1.645,3.136
242.0,1.441,3.038
248.0,2.095,2.828
249.0,1.079,3.789
250.0,1.045,3.786
266.0,0.665,3.017
267.0,1.363,2.683
268.0,1.376,3.748
269.0,0.883,3.595
270.0,0.818,3.189
280.0,2.397,3.5
281.0,1.764,4.074
285.0,1.215,4.754
286.0,0.795,2.571
299.0,0.71,4.257
300.0,0.782,3.254
11.0,1.518,3.108
14.0,1.501,3.107
21.0,1.819,3.2
22.0,0.797,2.025
35.0,2.42,3.344
39.0,2.48,3.243
40.0,1.38,1.792
41.0,0.251,2.429
42.0,1.868,3.102
43.0,1.569,3.397
51.0,1.317,3.318
52.0,1.792,2.337
55.0,0.442,2.926
56.0,1.988,3.344
57.0,0.502,2.594
76.0,1.999,3.334
77.0,1.04,3.529
81.0,1.598,3.93
82.0,0.501,2.575
83.0,1.723,2.372
84.0,0.772,2.963
85.0,1.141,3.243
96.0,3.363,4.137
97.0,1.825,3.409
100.0,2.741,3.68
114.0,1.329,3.772
115.0,1.444,3.453
116.0,1.106,2.834
117.0,1.891,2.327
118.0,1.22,2.421
130.0,0.902,3.668
131.0,1.287,2.711
132.0,0.936,3.728
138.0,1.894,2.84
139.0,0.487,2.708
140.0,0.277,3.138
152.0,2.652,3.598
153.0,1.387,3.035
157.0,1.205,3.183
158.0,0.857,2.488
159.0,0.676,3.174
160.0,2.837,2.186
170.0,0.741,2.859
171.0,0.959,2.516
174.0,1.488,2.455
175.0,1.438,2.291
176.0,0.563,3.492
177.0,0.558,3.007
187.0,1.619,3.055
188.0,0.575,2.786
192.0,1.164,4.195
193.0,0.584,3.216
194.0,0.571,2.903
195.0,1.223,3.119
211.0,,3.24
212.0,,
15.0,1.093,2.885
16.0,1.258,2.667
19.0,2.968,3.364
24.0,1.426,2.656
25.0,0.567,2.673
34.0,1.143,2.968
35.0,0.927,2.592
36.0,1.412,2.249
37.0,0.618,2.835
38.0,1.152,2.401
39.0,1.761,2.921
40.0,0.996,3.388
50.0,0.337,2.771
51.0,1.898,2.928
53.0,1.482,3.55
54.0,1.07,2.76
65.0,1.045,2.885
66.0,0.608,2.559
69.0,1.277,2.862
70.0,1.322,1.275
71.0,0.801,2.471
72.0,1.438,2.695
80.0,0.924,3.21
83.0,0.921,2.633
84.0,1.22,3.687
85.0,1.036,3.286
86.0,0.912,3.6
87.0,0.712,2.691
88.0,0.66,2.482
100.0,0.926,3.918
101.0,1.677,2.772
104.0,0.292,2.525
105.0,1.312,2.882
106.0,1.043,2.482
107.0,0.987,3.865
108.0,1.177,2.931
115.0,1.133,3.561
116.0,1.358,3.193
120.0,1.331,2.079
10.0,1.662,3.76
11.0,1.407,2.76
14.0,1.645,2.44
15.0,0.835,3.182
16.0,1.626,3.768
28.0,1.537,3.091
29.0,0.808,1.745
30.0,2.333,2.683
31.0,2.486,2.632
32.0,2.023,3.442
33.0,1.092,3.758
44.0,2.112,1.706
49.0,0.709,1.324
50.0,2.139,2.286
61.0,2.256,3.017
62.0,0.659,2.849
64.0,2.688,2.98
76.0,1.731,2.843
92.0,1.8,2.53
93.0,2.648,3.488
95.0,1.169,2.627
96.0,0.494,2.038
97.0,1.085,2.938
98.0,1.279,3.137
106.0,0.693,2.791
107.0,1.915,2.387
108.0,1.332,2.287
109.0,0.619,2.542
110.0,1.054,2.36
117.0,0.422,2.949
118.0,2.739,2.403
119.0,0.65,2.674
120.0,2.238,3.054
121.0,0.746,2.946
122.0,1.468,2.511
137.0,0.699,2.913
138.0,0.868,3.899
141.0,0.539,2.582
142.0,0.828,2.952
143.0,1.047,2.613
144.0,0.633,3.269
145.0,1.815,2.586
155.0,0.98,3.006
156.0,1.75,2.106
158.0,1.559,2.84
159.0,1.907,3.009
166.0,1.173,2.637
167.0,0.648,2.468
168.0,0.75,3.147
173.0,0.841,2.642
174.0,1.016,2.896
182.0,1.129,3.612
183.0,1.384,3.403
185.0,1.413,2.522
186.0,0.779,2.401
187.0,0.82,3.116
188.0,0.7,3.022
205.0,1.265,4.086
206.0,1.259,3.164
211.0,0.428,2.42
212.0,0.66,3.224
9.0,2.773,2.63
10.0,1.882,1.49
12.0,3.04,2.332
13.0,2.865,2.265
14.0,1.467,1.757
26.0,2.651,2.516
32.0,0.641,1.387
33.0,1.793,1.31
34.0,2.288,1.613
49.0,3.085,2.62
54.0,1.219,1.932
55.0,1.392,1.228
56.0,1.857,1.803
57.0,3.067,1.57
67.0,1.616,1.755
71.0,1.931,1.499
72.0,1.13,1.76
73.0,0.665,1.693
85.0,2.141,1.95
86.0,0.604,2.33
95.0,2.628,1.998
99.0,1.552,0.961
100.0,1.063,1.141
101.0,1.172,0.963
102.0,1.423,1.133
119.0,1.956,1.982
122.0,1.322,2.061
123.0,2.234,1.899
124.0,0.756,2.057
131.0,2.798,2.827
134.0,2.617,2.264
135.0,2.599,2.535
147.0,2.555,2.834
148.0,2.286,1.782
152.0,1.558,0.734
164.0,4.051,3.281
165.0,1.166,2.031
167.0,0.819,1.163
168.0,2.499,1.818
180.0,2.772,2.037
181.0,2.033,2.204
188.0,1.002,2.668
198.0,0.384,2.279
199.0,1.205,2.229
201.0,2.026,1.384
202.0,2.665,1.7
203.0,1.392,2.79
214.0,2.301,1.908
215.0,0.742,2.89
217.0,3.283,1.825
218.0,0.215,1.926
219.0,,1.556
220.0,,
17.0,1.22,3.404
18.0,2.083,2.248
19.0,1.607,2.254
20.0,3.009,3.247
31.0,1.776,3.907
32.0,2.079,2.992
33.0,2.221,2.495
34.0,3.126,3.157
35.0,3.826,3.135
47.0,1.016,2.915
48.0,1.511,3.884
51.0,1.047,3.246
60.0,1.243,1.871
61.0,1.105,2.503
64.0,1.638,4.025
65.0,2.904,2.629
66.0,3.096,3.247
76.0,0.928,2.456
77.0,2.307,3.265
81.0,0.599,2.794
93.0,0.952,2.656
96.0,1.332,2.561
97.0,0.575,1.748
98.0,2.004,2.458
111.0,1.952,3.356
11.0,2.373,4.641
12.0,3.899,3.732
15.0,2.76,3.168
16.0,3.025,2.967
17.0,1.983,2.734
18.0,2.478,1.433
19.0,2.978,2.227
28.0,2.937,2.56
29.0,2.227,1.966
34.0,2.427,2.639
35.0,1.671,1.897
45.0,1.568,2.519
46.0,2.994,1.8
49.0,0.836,3.611
50.0,3.503,1.688
51.0,1.597,2.476
52.0,2.908,2.094
53.0,0.624,2.33
63.0,1.079,3.094
64.0,2.905,2.12
67.0,2.296,2.668
68.0,3.742,2.13
69.0,2.53,2.164
70.0,2.088,2.821
71.0,1.939,2.4
80.0,2.092,3.137
81.0,3.359,2.484
84.0,1.77,2.697
85.0,2.314,2.002
92.0,1.069,2.902
