,0,1
27.0,3.156,3.316
44.0,2.062,3.591
77.0,1.702,3.471
190.0,0.982,2.193
230.0,1.785,3.945
141.0,1.33,1.505
188.0,0.614,2.226
117.0,2.026,3.378
168.0,1.454,2.525
220.0,1.505,2.282
240.0,1.352,2.406
257.0,1.613,2.465
279.0,2.854,4.148
306.0,1.122,2.812
68.0,1.616,3.325
126.0,1.563,3.126
38.0,1.284,4.777
52.0,0.88,3.384
63.0,1.012,4.23
94.0,0.883,3.238
157.0,1.041,2.57
184.0,1.169,3.18
11.0,1.165,3.347
31.0,2.527,4.223
68.0,0.923,3.292
98.0,1.834,3.234
149.0,1.245,2.418
166.0,1.258,2.233
200.0,0.923,3.821
216.0,0.658,3.006
135.0,2.961,3.949
80.0,2.055,3.031
100.0,1.72,3.626
148.0,1.388,2.748
133.0,0.48,2.17
150.0,0.968,2.193
239.0,2.306,2.523
72.0,1.852,2.455
106.0,2.596,3.113
145.0,2.04,3.194
64.0,1.148,5.534
81.0,1.803,3.888
44.0,2.143,6.09
63.0,2.275,4.379
82.0,1.217,3.192
47.0,3.702,5.367
63.0,1.697,5.133
81.0,0.624,4.745
54.0,2.171,6.259
106.0,1.088,2.059
165.0,1.146,4.588
229.0,1.61,2.149
263.0,0.907,3.376
82.0,1.656,3.54
96.0,1.196,1.976
186.0,1.01,2.635
227.0,1.165,2.564
275.0,1.068,1.198
170.0,0.816,3.54
183.0,0.897,3.564
227.0,0.831,3.226
155.0,1.121,3.73
287.0,1.798,3.966
304.0,0.7,3.041
44.0,3.788,3.461
59.0,0.713,3.42
185.0,2.563,3.186
215.0,1.623,4.451
230.0,2.198,4.154
283.0,1.423,2.289
50.0,2.093,2.433
80.0,1.365,5.058
98.0,0.755,2.448
128.0,1.145,3.634
144.0,0.934,2.265
85.0,0.942,3.1
101.0,1.032,3.044
122.0,1.056,2.76
77.0,1.792,3.758
177.0,1.106,4.057
76.0,1.519,2.865
149.0,1.771,3.259
