,0,1
34.0,2.051,0.077
54.0,2.342,1.493
69.0,2.663,1.281
143.0,2.86,2.266
166.0,0.975,1.912
184.0,1.029,1.745
196.0,0.955,2.022
4.0,1.414,2.59
23.0,3.519,1.764
45.0,4.7,3.19
64.0,2.668,1.481
128.0,1.782,0.819
148.0,1.01,1.763
165.0,3.658,0.61
177.0,2.639,0.655
197.0,2.515,1.665
80.0,0.093,2.605
105.0,0.813,0.599
128.0,2.329,3.044
161.0,3.224,2.774
174.0,1.943,1.285
233.0,2.116,1.195
248.0,4.801,3.489
271.0,3.521,2.607
288.0,1.316,2.944
36.0,1.158,4.166
61.0,1.409,3.571
80.0,1.647,2.936
95.0,0.737,3.716
119.0,2.34,3.121
214.0,0.479,3.953
230.0,1.203,3.682
274.0,0.692,3.046
290.0,0.722,3.351
5.0,1.352,2.178
29.0,0.939,3.244
47.0,0.565,2.174
62.0,1.634,2.969
90.0,1.177,2.35
144.0,0.553,3.315
164.0,1.578,3.057
181.0,1.291,3.311
200.0,0.486,3.372
8.0,2.194,3.899
58.0,1.172,4.591
76.0,0.71,3.307
112.0,1.601,3.429
54.0,2.128,3.238
69.0,1.712,3.024
149.0,0.958,3.873
192.0,0.674,3.451
4.0,1.128,2.504
92.0,2.641,3.516
156.0,1.851,2.575
193.0,0.695,3.129
207.0,1.641,2.387
40.0,2.692,1.47
55.0,2.129,0.853
73.0,1.71,1.398
24.0,1.896,1.448
41.0,1.707,1.843
57.0,1.133,0.914
75.0,2.301,1.892
89.0,0.901,1.283
120.0,1.102,1.537
158.0,0.691,2.526
53.0,1.838,1.706
67.0,1.975,2.47
89.0,1.588,1.914
106.0,2.271,2.005
127.0,1.655,2.231
142.0,1.776,2.43
91.0,1.715,0.557
122.0,1.515,1.29
144.0,2.662,1.345
160.0,2.291,2.731
180.0,1.688,1.65
196.0,0.661,0.851
213.0,2.735,2.3
228.0,1.21,2.69
242.0,1.49,1.436
72.0,1.493,1.851
92.0,1.763,1.899
116.0,2.299,1.901
142.0,1.583,1.603
158.0,1.639,1.747
73.0,1.067,2.025
92.0,1.915,0.689
111.0,4.778,3.183
145.0,1.702,1.554
163.0,2.072,1.898
179.0,1.07,0.637
194.0,2.642,2.116
211.0,2.797,1.948
228.0,1.408,0.876
247.0,1.386,1.191
82.0,2.368,1.826
98.0,2.076,1.694
117.0,1.549,1.554
134.0,1.526,1.8
152.0,2.164,2.094
72.0,1.591,1.641
50.0,3.624,0.789
75.0,1.808,0.598
57.0,3.138,0.261
69.0,2.09,1.228
46.0,1.804,5.984
68.0,1.543,5.043
73.0,1.281,1.999
92.0,3.304,2.235
56.0,3.908,4.863
72.0,2.609,4.087
90.0,1.314,2.182
116.0,1.62,2.626
137.0,2.935,3.989
154.0,1.66,3.411
173.0,2.096,3.179
196.0,1.033,3.247
220.0,2.774,3.204
76.0,1.715,1.657
92.0,1.444,1.762
55.0,2.362,2.288
75.0,2.023,2.769
92.0,1.928,2.419
108.0,1.504,2.864
129.0,2.704,3.373
149.0,2.209,2.767
166.0,2.444,2.259
60.0,2.236,4.569
82.0,1.422,2.541
99.0,2.096,2.755
121.0,2.638,2.351
136.0,1.639,1.904
155.0,2.649,3.173
176.0,1.695,1.375
198.0,2.013,1.757
218.0,1.099,2.907
6.0,0.723,1.723
21.0,1.856,1.927
78.0,1.581,1.829
94.0,2.011,2.153
130.0,1.944,1.795
149.0,1.649,1.451
161.0,1.834,1.682
175.0,2.05,1.947
191.0,1.895,2.01
202.0,1.58,2.166
219.0,2.031,2.171
50.0,2.829,2.619
66.0,1.656,2.287
105.0,1.386,2.467
123.0,1.847,1.973
149.0,1.659,2.495
161.0,2.019,2.135
179.0,1.764,2.685
235.0,1.224,2.053
260.0,1.87,2.258
278.0,1.255,2.305
294.0,1.328,1.765
37.0,2.397,2.825
52.0,1.504,3.52
64.0,2.143,2.705
112.0,1.207,3.017
157.0,0.456,3.242
176.0,1.887,3.513
222.0,1.445,2.652
258.0,1.127,2.804
273.0,1.852,2.276
41.0,2.219,5.147
59.0,3.115,3.155
72.0,1.597,3.547
89.0,1.325,3.111
122.0,1.437,3.872
136.0,2.045,2.391
151.0,0.95,3.138
63.0,2.321,3.67
78.0,1.414,3.195
92.0,2.388,3.425
115.0,1.164,4.278
25.0,1.984,3.035
38.0,1.108,2.152
90.0,2.173,3.507
132.0,2.707,2.632
170.0,2.675,2.683
185.0,2.714,3.381
203.0,2.224,2.488
7.0,1.223,2.342
68.0,0.781,2.49
99.0,1.335,1.923
140.0,1.666,3.734
50.0,2.637,3.636
65.0,2.74,3.154
82.0,2.818,1.495
99.0,1.41,1.654
