,0,1
6.0,2.998,2.82
7.0,0.909,0.374
8.0,1.751,0.761
20.0,4.498,2.766
21.0,1.771,1.207
22.0,2.752,0.636
23.0,1.843,0.454
32.0,2.608,1.966
33.0,1.615,1.331
35.0,0.369,1.46
36.0,1.381,0.46
39.0,2.573,1.841
51.0,1.324,1.064
55.0,0.712,1.762
56.0,2.494,0.697
57.0,1.609,1.15
67.0,2.466,1.326
68.0,2.629,0.494
70.0,1.407,0.837
71.0,1.318,0.233
72.0,1.926,2.387
86.0,3.229,2.012
91.0,3.339,3.258
109.0,1.259,1.157
110.0,1.415,2.136
122.0,3.404,3.205
123.0,0.907,0.45
142.0,3.104,1.926
144.0,1.334,2.442
147.0,1.417,3.378
148.0,0.257,2.392
149.0,0.104,3.115
162.0,2.124,2.372
167.0,0.237,3.014
168.0,0.963,2.16
169.0,2.283,2.146
170.0,3.11,3.582
171.0,3.042,2.69
182.0,1.773,2.091
183.0,1.512,3.237
185.0,0.617,1.21
186.0,2.094,2.107
195.0,2.95,1.985
197.0,2.276,1.728
198.0,1.754,3.041
199.0,2.093,2.22
215.0,2.258,3.167
222.0,3.094,2.623
3.0,,
5.0,2.381,1.722
6.0,1.77,0.822
7.0,2.249,0.984
20.0,3.08,2.426
24.0,2.129,0.104
25.0,3.137,0.733
26.0,2.262,1.709
27.0,1.764,1.507
43.0,2.841,1.52
44.0,1.017,2.063
46.0,4.345,2.541
62.0,2.056,2.524
63.0,1.761,1.334
65.0,2.38,0.867
66.0,2.847,1.407
67.0,3.225,1.009
68.0,2.198,1.229
69.0,2.965,1.465
82.0,4.0,2.288
83.0,3.271,1.971
84.0,2.719,1.742
85.0,2.411,1.21
86.0,2.618,1.724
102.0,2.73,3.056
107.0,1.727,2.099
108.0,3.303,1.874
109.0,2.689,2.769
127.0,1.748,0.599
129.0,3.757,0.901
134.0,2.797,1.846
135.0,0.483,1.375
136.0,2.111,1.119
146.0,1.385,1.155
147.0,2.214,1.454
149.0,1.301,1.526
150.0,1.211,1.676
151.0,1.394,1.133
152.0,2.853,0.823
163.0,1.663,4.073
164.0,2.475,3.005
166.0,2.905,1.324
167.0,2.43,2.231
168.0,1.807,2.09
175.0,0.903,1.556
176.0,0.813,2.297
178.0,2.046,1.988
179.0,2.05,2.084
196.0,0.979,0.531
198.0,1.19,1.374
199.0,2.262,1.835
200.0,1.317,4.132
201.0,2.469,2.516
213.0,1.811,1.638
214.0,1.592,2.106
215.0,3.0,1.742
216.0,0.528,2.921
4.0,0.931,1.068
11.0,2.497,1.247
23.0,2.164,1.911
28.0,2.929,1.57
29.0,2.107,1.864
30.0,2.042,1.231
31.0,1.535,1.846
32.0,2.347,0.737
46.0,2.002,1.055
47.0,2.925,1.426
48.0,3.202,3.058
49.0,2.513,0.917
56.0,2.682,1.468
57.0,2.92,1.925
58.0,2.814,2.514
59.0,3.08,1.818
79.0,2.411,1.973
93.0,2.407,1.089
94.0,2.59,1.252
103.0,2.785,2.772
104.0,1.927,1.481
110.0,1.935,1.565
