,0,1
9.0,2.177,1.267
24.0,1.931,1.26
37.0,1.745,1.097
52.0,2.752,1.677
58.0,2.71,0.42
84.0,3.708,4.101
87.0,1.464,2.319
103.0,0.564,2.125
107.0,4.122,2.018
118.0,3.978,1.714
124.0,1.461,1.916
138.0,3.33,1.707
145.0,2.144,1.301
163.0,0.787,1.796
187.0,2.599,1.676
193.0,2.311,3.666
200.0,2.443,2.444
216.0,0.591,1.025
218.0,2.077,1.824
220.0,2.231,2.0
21.0,1.24,1.463
80.0,1.991,2.181
100.0,2.05,1.526
103.0,2.218,2.24
105.0,2.673,1.575
125.0,2.9,0.179
130.0,1.232,1.949
194.0,0.995,2.638
5.0,2.678,1.714
7.0,2.972,2.91
12.0,2.821,2.045
21.0,2.281,2.459
24.0,1.707,1.512
44.0,2.684,1.225
75.0,2.199,2.186
81.0,1.937,2.433
84.0,2.489,1.943
87.0,2.58,1.944
106.0,1.014,0.855
123.0,1.726,3.021
125.0,3.429,2.826
142.0,2.676,1.789
159.0,0.55,3.0
186.0,2.392,2.288
191.0,1.935,1.691
201.0,2.291,1.776
208.0,1.14,2.578
227.0,2.935,2.557
230.0,1.59,2.351
57.0,1.689,3.299
72.0,0.727,3.711
99.0,0.443,2.48
138.0,0.929,3.175
169.0,0.946,3.51
60.0,1.576,2.816
63.0,0.668,3.661
91.0,1.496,2.914
104.0,1.117,4.587
38.0,0.595,3.067
81.0,0.839,2.874
106.0,1.429,2.393
190.0,2.457,2.665
38.0,1.049,1.955
70.0,1.584,1.867
83.0,1.744,2.004
21.0,1.387,1.903
79.0,1.173,2.377
98.0,1.52,2.896
132.0,1.564,2.053
19.0,1.356,1.847
25.0,1.82,2.315
28.0,1.809,1.837
36.0,1.6,2.462
54.0,1.189,2.013
69.0,1.256,1.457
90.0,1.714,1.712
108.0,1.467,2.319
114.0,0.526,1.476
156.0,1.284,1.837
158.0,0.957,1.966
177.0,2.073,2.09
19.0,1.476,1.514
35.0,2.256,1.905
38.0,2.21,1.857
53.0,1.798,1.978
69.0,1.948,2.126
71.0,2.609,2.594
74.0,3.246,2.972
87.0,2.139,2.251
102.0,1.19,1.934
104.0,0.434,1.994
112.0,0.357,1.648
125.0,1.493,1.084
139.0,2.207,2.483
147.0,2.358,2.011
157.0,0.567,1.798
163.0,0.786,1.447
193.0,1.419,2.02
198.0,1.142,2.143
231.0,0.716,2.12
19.0,2.056,1.908
22.0,2.135,1.789
51.0,2.263,1.902
87.0,1.757,1.829
89.0,1.573,2.051
111.0,2.104,1.938
139.0,1.677,1.883
159.0,1.924,1.683
6.0,,
18.0,3.45,1.747
22.0,2.731,1.099
51.0,2.918,2.114
53.0,1.077,0.344
77.0,1.367,1.696
108.0,2.078,1.948
124.0,3.261,1.501
126.0,2.46,1.325
139.0,2.191,2.026
142.0,1.285,1.338
154.0,1.913,1.382
159.0,2.592,2.091
195.0,3.435,2.565
197.0,2.365,1.927
207.0,3.468,2.777
209.0,2.728,1.847
225.0,2.746,0.7
229.0,1.262,0.464
248.0,1.713,0.561
28.0,1.994,1.511
49.0,2.131,1.597
63.0,1.714,1.593
69.0,1.795,1.697
78.0,2.077,1.91
80.0,2.079,1.845
85.0,1.766,1.764
95.0,2.148,1.606
115.0,1.674,3.777
135.0,1.959,1.734
154.0,1.771,2.122
50.0,2.99,2.786
72.0,3.983,1.763
19.0,2.322,3.61
42.0,1.582,0.972
62.0,1.597,3.05
93.0,1.459,1.134
27.0,2.606,1.684
58.0,2.798,2.672
76.0,2.985,2.601
86.0,2.382,2.775
91.0,2.364,1.367
112.0,2.659,3.225
156.0,1.647,2.136
170.0,1.348,1.307
199.0,0.724,1.845
19.0,0.7,1.014
26.0,1.484,2.265
28.0,2.321,1.362
45.0,2.669,1.737
58.0,3.83,2.229
60.0,2.207,2.514
90.0,0.971,1.618
93.0,2.98,2.299
168.0,1.71,1.965
37.0,2.168,3.949
118.0,1.677,1.824
173.0,2.714,1.07
253.0,3.328,2.625
258.0,1.277,1.61
23.0,1.192,1.217
38.0,1.577,1.684
69.0,3.516,2.876
120.0,1.422,1.126
140.0,1.861,2.315
159.0,0.713,1.526
164.0,1.546,2.218
184.0,2.135,3.422
196.0,2.967,3.239
202.0,1.349,2.045
211.0,1.708,2.707
217.0,2.637,2.426
4.0,3.406,
37.0,2.071,3.135
232.0,1.611,2.943
280.0,1.158,1.888
14.0,2.091,2.416
32.0,1.551,2.112
84.0,2.032,2.46
124.0,2.817,2.002
151.0,1.173,1.99
180.0,1.886,1.623
197.0,2.689,2.215
201.0,1.748,1.862
212.0,2.281,1.994
215.0,1.927,3.322
218.0,1.438,2.434
225.0,1.145,2.012
231.0,1.634,2.006
239.0,1.202,2.275
241.0,2.173,1.857
251.0,2.156,1.995
253.0,3.005,2.253
263.0,2.437,2.309
280.0,2.75,2.515
295.0,2.98,2.403
21.0,2.096,3.042
49.0,1.557,3.978
74.0,1.345,3.44
114.0,3.759,2.214
119.0,0.334,3.669
121.0,2.518,2.799
174.0,2.505,2.789
54.0,4.14,2.84
66.0,2.078,2.431
84.0,2.789,3.474
154.0,2.801,2.274
219.0,1.629,2.021
5.0,1.525,3.477
23.0,2.857,3.11
25.0,4.239,2.483
51.0,2.877,2.916
96.0,1.645,2.015
113.0,1.777,2.621
115.0,1.535,2.219
132.0,3.298,3.29
137.0,1.521,2.554
133.0,1.968,2.634
