,0,1
61.0,1.997,1.381
127.0,2.235,2.901
156.0,1.71,2.114
176.0,3.447,2.073
12.0,1.154,2.31
36.0,1.088,1.653
55.0,2.458,3.261
113.0,1.934,2.504
156.0,2.489,3.441
172.0,0.167,1.802
208.0,0.572,1.219
99.0,0.982,1.454
136.0,1.962,1.351
154.0,1.117,1.203
42.0,1.254,3.984
85.0,0.429,3.687
108.0,2.28,2.816
180.0,0.702,3.927
200.0,0.55,2.931
221.0,0.596,3.586
239.0,1.352,3.727
282.0,0.839,4.063
301.0,0.439,3.127
12.0,1.476,3.893
53.0,0.75,2.926
78.0,1.214,3.201
98.0,1.524,2.505
154.0,0.637,4.648
172.0,0.872,2.597
189.0,0.889,3.207
17.0,0.872,3.849
67.0,0.933,2.308
102.0,0.691,3.023
117.0,1.559,3.916
47.0,1.532,3.204
77.0,0.201,2.241
139.0,0.977,2.644
207.0,0.787,2.909
87.0,1.879,2.96
182.0,0.416,2.821
49.0,3.776,2.951
62.0,1.591,2.729
78.0,1.762,3.382
13.0,2.476,2.35
30.0,4.434,4.163
47.0,2.276,3.466
65.0,2.701,2.595
82.0,2.815,2.479
113.0,1.793,3.632
46.0,1.667,3.529
60.0,2.082,3.776
80.0,4.931,3.605
98.0,1.345,2.656
117.0,0.939,2.26
185.0,1.595,2.266
77.0,3.042,2.095
96.0,1.935,2.546
115.0,1.381,2.207
133.0,2.332,3.536
150.0,1.745,3.149
166.0,3.324,2.403
187.0,5.014,3.713
206.0,2.28,2.201
221.0,1.568,2.129
234.0,1.969,2.381
60.0,1.606,1.906
124.0,2.162,2.132
62.0,1.455,2.605
83.0,2.342,2.786
100.0,3.552,3.4
169.0,3.395,2.301
186.0,0.57,2.557
200.0,1.279,2.662
217.0,1.467,1.744
88.0,2.039,2.03
124.0,1.929,1.793
161.0,,
34.0,1.332,2.721
65.0,1.711,2.643
79.0,2.02,4.08
49.0,3.704,4.292
66.0,3.738,4.139
80.0,2.747,2.986
102.0,4.212,4.763
127.0,3.531,3.496
143.0,2.375,3.071
183.0,1.861,2.451
212.0,2.743,3.179
67.0,1.306,1.954
46.0,1.193,4.469
64.0,1.532,3.325
84.0,2.004,2.897
99.0,1.954,3.095
118.0,2.573,3.85
138.0,0.889,2.339
157.0,2.017,3.239
181.0,0.444,2.891
47.0,2.147,1.716
67.0,2.515,1.094
106.0,0.905,2.896
129.0,3.457,2.438
145.0,1.291,1.52
163.0,1.971,2.049
207.0,1.813,1.929
12.0,2.13,1.838
28.0,1.378,2.577
69.0,1.198,1.952
71.0,2.227,2.846
83.0,2.345,2.501
102.0,1.781,2.561
123.0,1.675,2.563
141.0,2.026,2.303
155.0,2.187,2.442
196.0,1.57,2.782
208.0,2.998,3.715
42.0,2.916,3.402
57.0,1.704,2.624
97.0,1.849,2.676
114.0,2.788,2.824
140.0,1.589,2.583
168.0,1.561,2.097
183.0,1.29,3.021
244.0,1.704,2.279
270.0,1.89,1.572
25.0,2.036,2.821
104.0,2.47,4.507
148.0,1.273,3.819
267.0,2.106,2.763
33.0,1.928,3.505
66.0,1.064,2.265
115.0,1.373,2.564
159.0,0.987,2.818
52.0,1.829,3.774
71.0,2.491,2.058
33.0,1.037,2.898
43.0,2.665,3.152
95.0,2.84,3.853
141.0,2.28,2.968
162.0,1.543,1.427
209.0,0.989,2.241
14.0,3.907,2.88
59.0,2.949,2.578
106.0,1.139,3.174
42.0,1.81,2.814
57.0,2.043,3.091
73.0,2.106,2.935
90.0,2.365,2.291
104.0,1.231,1.938
