,0,1
10.0,0.347,4.243
74.0,4.991,2.212
202.0,1.13,2.085
226.0,2.175,3.03
231.0,2.233,2.76
233.0,2.44,3.298
235.0,1.506,2.757
51.0,0.482,0.828
174.0,1.067,1.777
193.0,1.182,2.737
222.0,,1.326
13.0,3.378,2.85
38.0,0.517,1.217
64.0,3.087,1.035
165.0,3.229,2.287
261.0,2.348,0.894
300.0,1.317,3.975
46.0,0.866,2.512
48.0,0.434,3.449
71.0,0.826,2.782
105.0,1.19,3.355
160.0,2.148,3.499
243.0,0.744,3.502
263.0,1.685,2.452
9.0,2.164,3.536
15.0,1.226,2.854
17.0,1.299,2.983
36.0,0.601,2.366
133.0,0.748,3.113
20.0,2.681,3.134
22.0,1.317,2.236
12.0,1.878,2.215
45.0,1.479,1.559
74.0,1.948,2.677
79.0,2.442,2.53
99.0,1.477,2.795
169.0,1.169,2.902
27.0,1.27,1.791
35.0,1.649,2.471
50.0,2.601,1.655
65.0,2.317,2.808
69.0,1.901,1.594
89.0,1.037,1.328
96.0,2.275,2.064
116.0,1.632,1.875
120.0,1.201,2.29
125.0,2.5,2.149
132.0,1.417,1.314
150.0,2.669,2.339
189.0,2.131,1.976
52.0,2.552,2.706
94.0,1.629,2.117
29.0,2.072,4.377
43.0,0.782,2.734
61.0,1.706,2.489
169.0,2.171,2.5
172.0,2.181,2.815
239.0,3.035,2.42
246.0,0.788,1.905
25.0,15.568,2.929
29.0,1.745,1.576
11.0,2.121,1.86
183.0,1.469,1.426
249.0,0.544,2.493
15.0,1.943,1.9
21.0,1.878,1.742
23.0,2.161,1.801
107.0,1.968,1.74
15.0,1.283,2.099
22.0,1.92,1.796
39.0,1.432,2.448
60.0,2.718,2.23
82.0,0.728,0.78
59.0,3.093,2.619
19.0,,
77.0,3.611,3.36
119.0,0.673,1.757
169.0,0.48,1.441
180.0,0.238,1.967
188.0,1.554,1.517
190.0,1.65,3.583
256.0,1.665,2.269
268.0,1.151,1.845
11.0,0.891,3.299
62.0,2.043,3.442
97.0,1.329,2.346
114.0,2.311,2.952
161.0,1.171,3.836
163.0,1.395,3.575
184.0,1.517,2.523
190.0,,2.896
65.0,2.88,2.066
147.0,1.897,2.197
167.0,2.215,3.124
10.0,2.862,2.838
29.0,2.569,2.482
34.0,2.057,2.802
36.0,3.011,2.878
47.0,2.811,4.328
65.0,2.739,2.402
78.0,1.965,2.446
81.0,2.451,2.8
84.0,2.194,3.133
102.0,2.225,2.238
121.0,1.993,1.709
126.0,2.744,2.612
129.0,2.921,3.412
172.0,2.152,3.233
174.0,2.038,2.574
237.0,0.754,2.441
49.0,1.558,2.43
51.0,1.972,2.855
172.0,1.492,2.086
211.0,1.066,2.112
243.0,1.304,2.113
247.0,1.194,2.476
263.0,1.903,2.913
267.0,1.574,2.489
21.0,1.955,3.436
27.0,1.354,2.427
38.0,3.147,2.998
61.0,2.209,2.526
63.0,2.474,2.397
77.0,3.394,3.089
80.0,1.043,2.743
93.0,2.108,2.08
95.0,2.916,2.919
99.0,0.86,2.995
112.0,2.66,3.336
116.0,2.291,2.459
136.0,2.151,2.54
152.0,1.205,2.173
187.0,2.661,3.21
205.0,1.734,2.408
229.0,2.855,2.793
305.0,1.107,3.442
23.0,1.956,2.456
71.0,2.292,2.616
73.0,2.346,2.028
80.0,2.444,2.779
85.0,1.356,3.793
101.0,1.11,2.446
118.0,1.31,2.542
145.0,2.512,2.285
167.0,2.269,2.477
172.0,2.003,2.5
187.0,1.68,2.189
199.0,1.917,1.679
206.0,2.038,1.977
216.0,1.908,2.796
227.0,1.732,2.343
232.0,1.603,1.914
234.0,2.561,2.062
236.0,2.724,2.792
246.0,1.771,2.268
265.0,1.354,3.307
270.0,1.025,2.636
286.0,,3.889
14.0,2.685,1.94
48.0,1.45,1.537
63.0,1.05,2.05
77.0,0.704,1.758
83.0,1.473,2.716
68.0,1.766,2.402
82.0,1.495,1.718
10.0,1.599,2.653
30.0,2.582,1.305
35.0,1.474,1.787
55.0,2.646,3.021
110.0,3.151,2.101
34.0,1.031,1.778
73.0,2.644,1.721
121.0,2.695,2.773
124.0,0.994,2.408
124.0,1.68,2.381
